id,nid,cate,num,cate1,sx,wx,js,os,ds,xs,jz,fc
1,066,马,12,金,7,5,0,1,0,1,26.3,14.7
2,067,狗,44,水,11,1,0,1,1,0,26.5,14.5
3,068,狗,44,水,11,1,0,1,1,0,32.2,13.3
4,069,牛,29,水,2,1,1,0,1,0,33.7,14.2
5,070,猪,43,水,12,1,1,0,1,0,34.7,13.5
6,071,蛇,49,土,6,4,1,0,1,0,36.7,13.7
7,072,虎,40,火,3,3,0,1,1,0,36.8,13.9
8,073,兔,3,金,4,5,1,0,0,1,41.5,6.8
9,074,羊,35,土,8,4,1,0,1,0,34.7,16.9
10,075,鸡,9,火,10,3,1,0,0,1,33.2,16.3
11,076,兔,39,火,4,3,1,0,1,0,29.8,19.1
12,077,猴,22,水,9,1,0,1,0,1,29.2,18.6
13,078,虎,28,土,3,4,0,1,1,0,24.7,15.9
14,079,猴,10,火,9,3,0,1,0,1,22.7,14.3
15,080,马,24,木,7,2,0,1,0,1,23.8,12.5
16,081,龙,38,木,5,2,0,1,1,0,22.0,11.3
17,082,猴,34,金,9,5,0,1,1,0,26.8,10.9
18,083,虎,28,土,3,4,0,1,1,0,26.0,9.9
19,084,狗,20,土,11,4,0,1,0,1,27.0,9.7
20,085,羊,35,土,8,4,1,0,1,0,25.7,10.1
21,086,鼠,30,水,1,1,0,1,1,0,29.8,7.0
22,087,兔,15,木,4,2,1,0,0,1,30.8,6.4
23,088,兔,15,木,4,2,1,0,0,1,27.0,7.9
24,089,龙,14,水,5,1,0,1,0,1,23.8,8.4
25,090,羊,35,土,8,4,1,0,1,0,21.5,8.9
26,091,虎,40,火,3,3,0,1,1,0,24.0,10.4
27,092,兔,39,火,4,3,1,0,1,0,24.8,11.6
28,093,猴,10,火,9,3,0,1,0,1,26.3,12.9
29,094,鸡,33,金,10,5,1,0,1,0,25.5,13.9
30,095,狗,20,土,11,4,0,1,0,1,28.5,13.1
31,096,猴,34,金,9,5,0,1,1,0,29.5,11.9
32,097,猪,31,火,12,3,1,0,1,0,29.3,11.9
33,098,兔,3,金,4,5,1,0,0,1,27.8,10.8
34,099,狗,20,土,11,4,0,1,0,1,21.8,13.1
35,100,鼠,42,金,1,5,0,1,1,0,23.5,11.8
36,101,蛇,1,火,6,3,1,0,0,1,25.0,13.7
37,102,龙,38,木,5,2,0,1,1,0,21.8,16.9
38,103,狗,32,火,11,3,0,1,1,0,22.5,17.6
39,104,鼠,6,土,1,4,0,1,0,1,22.7,17.7
40,105,龙,26,金,5,5,0,1,1,0,23.2,17.0
41,106,鼠,18,火,1,3,0,1,0,1,24.2,17.0
42,107,猴,46,木,9,2,0,1,1,0,20.2,14.6
43,108,兔,27,土,4,4,1,0,1,0,27.7,14.3
44,109,兔,3,金,4,5,1,0,0,1,25.8,13.4
45,110,羊,47,火,8,3,1,0,1,0,21.0,15.8
46,111,鸡,45,木,10,2,1,0,1,0,27.8,16.8
47,112,鸡,45,木,10,2,1,0,1,0,31.0,18.1
48,113,猴,46,木,9,2,0,1,1,0,35.5,17.6
49,114,龙,38,木,5,2,0,1,1,0,35.5,17.6
50,115,兔,3,金,4,5,1,0,0,1,37.3,17.1
51,116,羊,23,木,8,2,1,0,0,1,37.3,17.1
52,117,羊,47,火,8,3,1,0,1,0,33.3,17.2
53,118,马,36,土,7,4,0,1,1,0,33.7,17.5
54,119,龙,38,木,5,2,0,1,1,0,32.2,16.7
55,120,虎,28,土,3,4,0,1,1,0,30.8,15.7
56,121,马,24,木,7,2,0,1,0,1,29.2,15.3
57,122,鸡,33,金,10,5,1,0,1,0,32.7,9.3
58,123,鸡,45,木,10,2,1,0,1,0,34.3,8.1
59,124,猴,10,火,9,3,0,1,0,1,34.0,7.5
60,125,蛇,49,土,6,4,1,0,1,0,29.7,12.1
61,126,龙,2,火,5,3,0,1,0,1,31.5,14.3
62,127,蛇,49,土,6,4,1,0,1,0,27.2,18.8
63,128,蛇,13,水,6,1,1,0,0,1,31.3,20.6
64,129,虎,40,火,3,3,0,1,1,0,28.0,21.9
