id,nid,cate,num,cate1,sx,wx,jo,dx,rgb,ts,ws
1,129,虎,40,火,3,3,2,1,1,4,0
2,130,羊,23,木,8,2,1,0,1,2,3
3,131,羊,47,火,8,3,1,1,3,4,7
4,132,龙,2,火,5,3,2,0,1,0,2
5,133,猴,10,火,9,3,2,0,3,1,0
6,134,龙,14,水,5,1,2,0,3,1,4
7,135,蛇,37,木,6,2,1,1,3,3,7
8,136,鸡,9,火,10,3,1,0,3,0,9
9,137,马,36,土,7,4,2,1,3,3,6
10,138,牛,41,金,2,5,1,1,3,4,1
11,139,龙,14,水,5,1,2,0,3,1,4
12,140,羊,11,金,8,5,1,0,2,1,1
13,141,蛇,13,水,6,1,1,0,1,1,3
14,142,狗,44,水,11,1,2,1,2,4,4
15,143,猴,10,火,9,3,2,0,3,1,0
16,144,蛇,25,金,6,5,1,1,3,2,5
17,145,牛,17,火,2,3,1,0,2,1,7
18,146,龙,14,水,5,1,2,0,3,1,4
19,147,狗,32,火,11,3,2,1,2,3,2
20,148,龙,2,火,5,3,2,0,1,0,2
21,149,牛,41,金,2,5,1,1,3,4,1
22,150,虎,40,火,3,3,2,1,1,4,0
23,151,龙,38,木,5,2,2,1,2,3,8
24,152,猴,10,火,9,3,2,0,3,1,0
25,153,猪,43,水,12,1,1,1,2,4,3
26,154,龙,26,金,5,5,2,1,3,2,6
27,155,鸡,45,木,10,2,1,1,1,4,5
28,156,鼠,18,火,1,3,2,0,1,1,8
29,157,羊,23,木,8,2,1,0,1,2,3
30,158,牛,5,土,2,4,1,0,2,0,5
31,159,猪,31,火,12,3,1,1,3,3,1
32,160,羊,11,金,8,5,1,0,2,1,1
33,161,虎,16,木,3,2,2,0,2,1,6
34,162,蛇,1,火,6,3,1,0,1,0,1
35,163,羊,23,木,8,2,1,0,1,2,3
36,164,蛇,13,水,6,1,1,0,1,1,3
37,165,羊,47,火,8,3,1,1,3,4,7
38,166,牛,41,金,2,5,1,1,3,4,1
39,167,鸡,9,火,10,3,1,0,3,0,9
40,168,虎,16,木,3,2,2,0,2,1,6
41,169,猪,7,木,12,2,1,0,1,0,7
42,170,鸡,33,金,10,5,1,1,2,3,3
43,171,羊,47,火,8,3,1,1,3,4,7
44,172,马,36,土,7,4,2,1,3,3,6
45,173,龙,38,木,5,2,2,1,2,3,8
46,174,兔,39,火,4,3,1,1,2,3,9
47,175,鼠,30,水,1,1,2,1,1,3,0
48,176,马,36,土,7,4,2,1,3,3,6
49,177,虎,4,金,3,5,2,0,3,0,4
50,178,兔,27,土,4,4,1,1,2,2,7
