id,nid,num,tj_dw,tj_dwnums,tj_dwnums_js,tj_dwnums_os,tjn_dw,tjn_dwnums,tjn_dwnums_js,tjn_dwnums_os
1,097,"[1, 5, 7]",5,15,8,7,1,3,1,2
2,098,"[1, 6, 8]",3,7,3,4,3,8,4,4
3,099,"[12, 14, 19]",6,13,9,4,1,2,2,0
4,100,"[1, 3, 4]",2,7,7,0,3,8,4,4
5,101,"[1, 7, 18]",4,8,3,5,2,5,3,2
6,102,"[5, 6, 7]",5,10,7,3,1,1,1,0
7,103,"[3, 5, 7]",3,11,5,6,2,3,2,1
8,104,"[6, 7, 10]",4,11,5,6,1,3,0,3
9,105,"[1, 4, 8]",7,17,8,9,0,0,0,0
10,106,"[6, 10, 21]",5,15,6,9,1,3,1,2
11,107,"[7, 14, 22]",3,8,2,6,2,4,1,3
12,108,"[4, 9, 10]",5,13,9,4,1,1,0,1
13,109,"[1, 2, 5]",5,10,5,5,1,3,2,1
14,110,"[1, 2, 9]",4,13,7,6,2,3,1,2
15,111,"[1, 3, 11]",3,6,3,3,2,8,5,3
16,112,"[3, 8, 10]",5,14,9,5,2,6,2,4
17,113,"[2, 7, 12]",4,9,3,6,2,8,4,4
18,114,"[6, 8, 13]",4,13,6,7,1,0,0,0
19,115,"[2, 5, 8]",3,5,3,2,2,7,6,1
20,116,"[1, 5, 7]",5,13,5,8,1,2,0,2
21,117,"[4, 6, 10]",5,11,4,7,1,4,2,2
22,118,"[1, 2, 6]",5,17,9,8,1,1,0,1
23,119,"[2, 4, 5]",1,4,1,3,4,8,4,4
24,120,"[5, 15, 18]",4,8,4,4,2,6,3,3
25,121,"[1, 2, 5]",3,7,3,4,2,4,2,2
26,122,"[6, 7, 8]",4,11,9,2,2,4,3,1
27,123,"[1, 13, 15]",4,12,8,4,2,2,1,1
28,124,"[11, 12, 13]",3,6,3,3,3,7,3,4
29,125,"[4, 5, 6]",5,12,8,4,1,3,1,2
30,126,"[1, 7, 11]",5,14,5,9,1,1,1,0
31,127,"[7, 13, 16]",3,8,4,4,2,4,3,1
32,128,"[1, 2, 4]",4,11,6,5,2,5,3,2
33,129,"[2, 5, 14]",4,11,4,7,1,2,0,2
34,130,"[1, 5, 9]",3,8,2,6,2,6,4,2
35,131,"[2, 5, 14]",5,10,5,5,1,4,2,2
36,132,"[11, 13, 14]",4,10,5,5,2,5,1,4
37,133,"[2, 3, 7]",5,13,7,6,1,4,2,2
38,134,"[7, 12, 14]",4,10,5,5,2,4,1,3
39,135,"[5, 7, 10]",4,9,4,5,2,6,2,4
40,136,"[3, 8, 9]",3,7,1,6,2,3,0,3
41,137,"[2, 8, 10]",3,10,4,6,2,6,4,2
42,138,"[1, 6, 8]",4,8,5,3,2,5,2,3
43,139,"[5, 9, 11]",3,9,3,6,1,1,0,1
44,140,"[2, 7, 8]",5,14,8,6,1,4,2,2
45,141,"[9, 11, 12]",2,5,2,3,3,8,4,4
46,142,"[5, 6, 7]",4,11,7,4,0,0,0,0
47,143,"[1, 3, 12]",4,8,3,5,2,6,4,2
48,144,"[3, 5, 6]",2,5,3,2,4,10,5,5
49,145,"[4, 10, 28]",4,10,6,4,2,7,2,5
50,146,"[10, 12, 17]",4,12,9,3,2,5,4,1
