id,nid,name,num,wx,average,variance,nesw,wx1,nesw1
317,030,牛,3,土,24.6,12.4,北,4,1
318,031,鸡,7,火,23.6,13.6,西,3,4
319,032,鼠,40,金,22.5,14.3,北,5,1
320,033,狗,30,火,22.0,13.5,西,3,4
321,034,蛇,11,水,22.9,13.6,南,1,3
322,035,猴,44,木,21.6,13.8,西,2,4
323,036,猪,29,火,22.3,14.6,北,3,1
324,037,马,10,金,21.4,13.8,南,5,3
325,038,狗,6,木,20.7,14.1,西,2,4
326,039,鸡,19,水,21.1,13.6,西,1,4
327,040,鼠,40,金,20.1,13.3,北,5,1
328,041,鼠,41,金,20.9,14.1,北,5,1
329,042,虎,15,木,21.8,15.0,东,2,2
330,043,猪,42,水,22.2,14.7,北,1,1
331,044,兔,2,金,24.1,15.5,东,5,2
332,045,牛,28,水,24.0,15.6,北,1,1
333,046,兔,2,金,25.5,14.8,东,5,2
334,047,猴,9,火,22.8,15.4,西,3,4
335,048,猪,30,火,21.3,15.7,北,3,1
336,049,马,35,土,22.6,15.5,南,4,3
337,050,虎,39,火,22.0,14.8,东,3,2
338,051,蛇,12,水,22.7,15.3,南,1,3
339,052,猴,9,火,22.9,15.2,西,3,4
340,053,龙,25,金,23.1,15.0,东,5,2
341,054,猴,9,火,23.5,15.0,西,3,4
342,055,狗,31,火,21.3,14.6,西,3,4
343,056,马,23,木,20.6,13.8,南,2,3
344,057,羊,46,火,21.1,13.7,南,3,3
345,058,马,11,金,21.4,14.2,南,5,3
346,059,猪,30,火,22.1,13.5,北,3,1
347,060,鸡,44,木,22.2,13.5,西,2,4
348,061,猴,33,金,25.2,13.4,西,5,4
349,062,龙,49,土,26.9,12.6,东,4,2
350,063,狗,31,火,28.3,13.9,西,3,4
351,064,羊,46,火,28.0,13.8,南,3,3
352,065,牛,4,土,28.5,14.4,北,4,1
353,066,猪,42,水,27.9,15.2,北,1,1
354,067,羊,34,土,30.3,14.6,南,4,3
355,068,鸡,20,水,30.9,14.6,西,1,4
356,069,鸡,8,火,31.7,13.5,西,3,4
357,070,猪,6,木,30.1,15.0,北,2,1
358,071,虎,3,金,28.9,16.2,东,5,2
359,072,狗,19,土,25.8,16.8,西,4,4
360,073,羊,34,土,26.4,16.4,南,4,3
361,074,牛,16,火,26.6,16.5,北,3,1
362,075,牛,16,火,24.6,15.9,北,3,1
363,076,鼠,17,火,23.4,15.9,北,3,1
364,077,鸡,32,金,21.1,14.1,西,5,4
365,078,鼠,5,土,21.2,14.1,北,4,1
366,079,鸡,44,木,18.3,12.8,西,2,4
367,080,兔,38,火,21.1,13.8,东,3,2
368,081,龙,13,水,20.9,13.4,东,1,2
369,082,羊,22,木,19.4,12.9,南,2,3
370,083,羊,22,木,19.5,13.0,南,2,3
371,084,鼠,5,土,20.5,12.5,北,4,1
372,085,马,35,土,20.4,12.6,南,4,3
373,086,马,11,金,22.7,12.1,南,5,3
374,087,猪,6,木,22.1,12.5,北,2,1
375,088,龙,37,木,20.1,12.7,东,2,2
376,089,龙,13,水,21.6,13.4,东,1,2
377,090,猴,45,木,21.4,13.5,西,2,4
378,091,羊,34,土,23.4,14.8,南,4,3
379,092,蛇,24,金,23.6,14.9,南,5,3
380,093,鼠,41,金,24.9,13.9,北,5,1
381,094,猴,33,金,24.7,13.6,西,5,4
382,095,蛇,48,土,24.4,13.3,南,4,3
383,096,鼠,5,土,26.9,14.3,北,4,1
